sex,agegr,edu,socprof,marital,depress,trust,trustfam,trustneigh,income,weight
FEMALE,60-64,PRIMARY/NO EDUCATION,RETIRED,DIVORCED,8,ONE CAN`T BE TOO CAREFUL,YES,YES,1280,94
MALE,60-64,PRIMARY/NO EDUCATION,RETIRED,MARRIED,5,MOST PEOPLE CAN BE TRUSTED,YES,YES,1900,90
MALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,92
MALE,16-24,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,2,ONE CAN`T BE TOO CAREFUL,YES,YES,2500,88
FEMALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,DIVORCED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,1000,62
MALE,45-59,PRIMARY/NO EDUCATION,EMPLOYED IN PRIVATE SECTOR,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2800,68
FEMALE,60-64,PRIMARY/NO EDUCATION,RETIRED,MARRIED,7,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO OPINION,1600,68
MALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,4,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NA,75
FEMALE,45-59,SECONDARY,RETIRED,WIDOWED,5,ONE CAN`T BE TOO CAREFUL,YES,NO,-8,74
FEMALE,35-44,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,NO,400,60
FEMALE,65+,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,WIDOWED,15,ONE CAN`T BE TOO CAREFUL,YES,YES,750,78
FEMALE,60-64,VOCATIONAL/GRAMMAR,RETIRED,WIDOWED,16,ONE CAN`T BE TOO CAREFUL,YES,YES,1800,90
MALE,65+,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,1800,89
MALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,NO,-8,105
MALE,16-24,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,NO,1200,60
FEMALE,60-64,SECONDARY,RETIRED,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,80
MALE,65+,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,6,ONE CAN`T BE TOO CAREFUL,YES,YES,1500,72
MALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,YES,1900,92
MALE,25-34,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,-8,76
FEMALE,45-59,VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,610,98
MALE,45-59,PRIMARY/NO EDUCATION,FARMER,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,83
FEMALE,45-59,SECONDARY,EMPLOYED IN PUBLIC SECTOR,DIVORCED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,1540,58
FEMALE,65+,POST-SECONDARY OR HIGHER,RETIRED,SINGLE,7,ONE CAN`T BE TOO CAREFUL,YES,YES,2400,58
MALE,65+,VOCATIONAL/GRAMMAR,RETIRED,NA,6,ONE CAN`T BE TOO CAREFUL,YES,YES,1600,75
MALE,25-34,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1500,80
MALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,4,ONE CAN`T BE TOO CAREFUL,YES,NO,3000,89
MALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,1,ONE CAN`T BE TOO CAREFUL,YES,NO,360,70
FEMALE,45-59,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,8,IT`S DIFFICULT TO TELL,YES,NO OPINION,NA,80
FEMALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,2,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NA,53
MALE,35-44,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,NA,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,-8,86
MALE,25-34,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1000,67
FEMALE,25-34,VOCATIONAL/GRAMMAR,SELF-EMPLOYED,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO,6500,56
FEMALE,60-64,SECONDARY,LONG-TERM SICK/DISABLED,DIVORCED,10,IT`S DIFFICULT TO TELL,YES,YES,700,70
MALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,-8,60
MALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,2200,NA
FEMALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,2800,64
FEMALE,25-34,SECONDARY,OTHER ECONOMICALLY INACTIVE,SINGLE,5,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,54
MALE,45-59,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,MARRIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,460,76
FEMALE,16-24,SECONDARY,UNEMPLOYED,SINGLE,2,IT`S DIFFICULT TO TELL,YES,NO,640,59
FEMALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,NO,1500,70
FEMALE,65+,VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,WIDOWED,12,ONE CAN`T BE TOO CAREFUL,YES,NO,1600,85
FEMALE,25-34,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,0,IT`S DIFFICULT TO TELL,YES,YES,950,69
MALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1500,70
MALE,35-44,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,2,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,88
FEMALE,35-44,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,1330,56
MALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,11,ONE CAN`T BE TOO CAREFUL,YES,YES,1408,90
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO,1800,85
FEMALE,45-59,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,5,ONE CAN`T BE TOO CAREFUL,YES,NO,2000,70
MALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,97
MALE,16-24,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1500,78
MALE,35-44,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,2000,98
MALE,45-59,VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,4,MOST PEOPLE CAN BE TRUSTED,YES,NO,1400,72
MALE,35-44,VOCATIONAL/GRAMMAR,SELF-EMPLOYED,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO,7000,94
MALE,25-34,SECONDARY,PUPIL OR STUDENT,SINGLE,1,IT`S DIFFICULT TO TELL,YES,YES,1500,68
FEMALE,16-24,POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,61
FEMALE,45-59,VOCATIONAL/GRAMMAR,FARMER,MARRIED,7,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,600,57
FEMALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1050,59
FEMALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,3000,80
FEMALE,25-34,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,IT`S DIFFICULT TO TELL,YES,YES,1200,65
FEMALE,60-64,POST-SECONDARY OR HIGHER,RETIRED,WIDOWED,2,MOST PEOPLE CAN BE TRUSTED,YES,YES,2200,60
MALE,60-64,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,12,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,82
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,10,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,826,60
FEMALE,35-44,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,NA,ONE CAN`T BE TOO CAREFUL,YES,NO,-8,58
MALE,16-24,PRIMARY/NO EDUCATION,PUPIL OR STUDENT,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NA,76
FEMALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,7,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2900,75
FEMALE,16-24,PRIMARY/NO EDUCATION,PUPIL OR STUDENT,SINGLE,0,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,-8,55
FEMALE,60-64,PRIMARY/NO EDUCATION,RETIRED,MARRIED,6,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,62
FEMALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,5,MOST PEOPLE CAN BE TRUSTED,YES,YES,2300,50
MALE,45-59,VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,NA,80
MALE,45-59,PRIMARY/NO EDUCATION,OTHER ECONOMICALLY INACTIVE,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,YES,841,70
MALE,25-34,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,1,ONE CAN`T BE TOO CAREFUL,YES,YES,6000,80
MALE,45-59,VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,NA,100
FEMALE,25-34,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,2,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,-8,53
MALE,65+,POST-SECONDARY OR HIGHER,RETIRED,MARRIED,12,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,1796,90
FEMALE,45-59,SECONDARY,EMPLOYED IN PUBLIC SECTOR,WIDOWED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,2000,62
FEMALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1300,54
MALE,25-34,PRIMARY/NO EDUCATION,UNEMPLOYED,SINGLE,3,MOST PEOPLE CAN BE TRUSTED,YES,YES,NA,86
MALE,45-59,VOCATIONAL/GRAMMAR,FARMER,MARRIED,0,ONE CAN`T BE TOO CAREFUL,NO,NO OPINION,1000,80
FEMALE,25-34,SECONDARY,SELF-EMPLOYED,MARRIED,1,MOST PEOPLE CAN BE TRUSTED,YES,YES,1200,66
FEMALE,65+,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,WIDOWED,12,ONE CAN`T BE TOO CAREFUL,YES,YES,1200,60
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2000,96
FEMALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,6,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,-8,75
MALE,35-44,SECONDARY,UNEMPLOYED,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2000,100
MALE,60-64,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,96
FEMALE,35-44,SECONDARY,OTHER ECONOMICALLY INACTIVE,DIVORCED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,1637,70
FEMALE,16-24,SECONDARY,UNEMPLOYED,SINGLE,1,ONE CAN`T BE TOO CAREFUL,YES,YES,NA,55
FEMALE,45-59,POST-SECONDARY OR HIGHER,FARMER,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,NA,72
FEMALE,60-64,PRIMARY/NO EDUCATION,RETIRED,MARRIED,8,NA,YES,YES,-8,65
FEMALE,65+,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,WIDOWED,8,ONE CAN`T BE TOO CAREFUL,YES,YES,940,70
MALE,25-34,VOCATIONAL/GRAMMAR,UNEMPLOYED,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,-8,86
FEMALE,65+,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,WIDOWED,11,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,65
MALE,45-59,PRIMARY/NO EDUCATION,UNEMPLOYED,SINGLE,6,IT`S DIFFICULT TO TELL,YES,YES,300,60
MALE,25-34,VOCATIONAL/GRAMMAR,UNEMPLOYED,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,75
MALE,45-59,VOCATIONAL/GRAMMAR,RETIRED,DIVORCED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,2300,70
FEMALE,16-24,POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,NO,-8,60
MALE,16-24,SECONDARY,UNEMPLOYED,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,500,100
MALE,35-44,SECONDARY,SELF-EMPLOYED,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,1200,68
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,9,ONE CAN`T BE TOO CAREFUL,NO,YES,1000,50
FEMALE,45-59,VOCATIONAL/GRAMMAR,FARMER,NA,9,ONE CAN`T BE TOO CAREFUL,YES,NO,1000,64
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,896,70
FEMALE,25-34,SECONDARY,EMPLOYED IN PUBLIC SECTOR,SINGLE,3,MOST PEOPLE CAN BE TRUSTED,YES,NO,1250,55
FEMALE,35-44,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,NA,58
FEMALE,60-64,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,WIDOWED,12,ONE CAN`T BE TOO CAREFUL,YES,NO,726,98
MALE,65+,POST-SECONDARY OR HIGHER,RETIRED,MARRIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,2833,73
FEMALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,2000,50
FEMALE,25-34,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO,2000,64
MALE,60-64,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,3,MOST PEOPLE CAN BE TRUSTED,YES,YES,2600,87
MALE,60-64,SECONDARY,RETIRED,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,NO,1300,92
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,14,ONE CAN`T BE TOO CAREFUL,YES,NO,1300,70
FEMALE,65+,SECONDARY,RETIRED,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,1100,64
FEMALE,45-59,SECONDARY,FARMER,DIVORCED,9,IT`S DIFFICULT TO TELL,YES,NO OPINION,2000,82
MALE,60-64,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,MARRIED,5,IT`S DIFFICULT TO TELL,YES,YES,1000,80
FEMALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,5,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,1300,75
MALE,25-34,POST-SECONDARY OR HIGHER,UNEMPLOYED,SINGLE,4,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,70
FEMALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,2500,60
MALE,65+,POST-SECONDARY OR HIGHER,RETIRED,MARRIED,0,IT`S DIFFICULT TO TELL,YES,NO OPINION,2400,61
FEMALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,DIVORCED,11,ONE CAN`T BE TOO CAREFUL,YES,YES,2800,75
FEMALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,3500,80
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,-8,100
MALE,45-59,POST-SECONDARY OR HIGHER,RETIRED,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,3500,88
FEMALE,45-59,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,9,ONE CAN`T BE TOO CAREFUL,NO,NO,NA,60
MALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,NA,NA
FEMALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,5,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NA,57
MALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,NO,NA,66
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,NA,ONE CAN`T BE TOO CAREFUL,YES,YES,1800,100
MALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO,-8,70
MALE,60-64,VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,MARRIED,11,ONE CAN`T BE TOO CAREFUL,YES,YES,700,130
FEMALE,60-64,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,9,MOST PEOPLE CAN BE TRUSTED,YES,YES,790,68
MALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,8,ONE CAN`T BE TOO CAREFUL,YES,NO,1500,85
FEMALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,5,ONE CAN`T BE TOO CAREFUL,YES,NO,1600,70
MALE,65+,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,15,IT`S DIFFICULT TO TELL,YES,YES,1200,88
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,7,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,700,70
FEMALE,65+,SECONDARY,RETIRED,WIDOWED,7,MOST PEOPLE CAN BE TRUSTED,YES,YES,1300,78
FEMALE,60-64,POST-SECONDARY OR HIGHER,RETIRED,SINGLE,6,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,60
MALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,3000,60
FEMALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,NA,MOST PEOPLE CAN BE TRUSTED,YES,YES,1800,74
MALE,60-64,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,DIVORCED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,725,94
MALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,SINGLE,3,MOST PEOPLE CAN BE TRUSTED,YES,YES,3000,84
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,15,IT`S DIFFICULT TO TELL,YES,YES,860,65
FEMALE,25-34,POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO,-8,57
FEMALE,35-44,VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO,NA,75
MALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,1,MOST PEOPLE CAN BE TRUSTED,YES,YES,2500,100
MALE,45-59,VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,MARRIED,6,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1900,85
FEMALE,45-59,SECONDARY,UNEMPLOYED,WIDOWED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,NA,70
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,NO,8000,87
MALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,800,65
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,18,ONE CAN`T BE TOO CAREFUL,YES,NO,900,42
MALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,-8,80
MALE,60-64,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,2400,70
MALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,3900,74
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,8,MOST PEOPLE CAN BE TRUSTED,YES,YES,800,65
FEMALE,65+,SECONDARY,RETIRED,WIDOWED,9,ONE CAN`T BE TOO CAREFUL,YES,YES,1600,NA
MALE,35-44,SECONDARY,RETIRED,MARRIED,7,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,90
MALE,25-34,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,YES,1300,68
FEMALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,6,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,1900,63
FEMALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,8,ONE CAN`T BE TOO CAREFUL,YES,YES,2500,63
MALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,12,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,1700,55
FEMALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,1,ONE CAN`T BE TOO CAREFUL,YES,YES,1200,56
FEMALE,45-59,POST-SECONDARY OR HIGHER,UNEMPLOYED,DIVORCED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,80
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,DIVORCED,11,MOST PEOPLE CAN BE TRUSTED,YES,YES,1300,96
FEMALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1100,65
MALE,25-34,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,6,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,-8,88
FEMALE,45-59,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,7,ONE CAN`T BE TOO CAREFUL,YES,YES,500,51
MALE,65+,POST-SECONDARY OR HIGHER,RETIRED,MARRIED,6,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2400,86
FEMALE,65+,SECONDARY,RETIRED,WIDOWED,11,MOST PEOPLE CAN BE TRUSTED,YES,YES,-8,60
MALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,13,ONE CAN`T BE TOO CAREFUL,YES,YES,750,70
FEMALE,45-59,VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,6,IT`S DIFFICULT TO TELL,YES,YES,NA,68
FEMALE,16-24,VOCATIONAL/GRAMMAR,NA,SINGLE,0,IT`S DIFFICULT TO TELL,YES,NO,1300,60
FEMALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,DE FACTO SEPARATED,7,ONE CAN`T BE TOO CAREFUL,YES,YES,2000,80
FEMALE,35-44,SECONDARY,PUPIL OR STUDENT,MARRIED,6,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,53
MALE,35-44,NA,EMPLOYED IN PUBLIC SECTOR,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2500,95
MALE,35-44,VOCATIONAL/GRAMMAR,FARMER,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,2000,103
MALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,10000,95
MALE,25-34,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,NO,1700,78
FEMALE,35-44,PRIMARY/NO EDUCATION,NA,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,803,56
FEMALE,35-44,VOCATIONAL/GRAMMAR,FARMER,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,NO,200,54
MALE,65+,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,10,ONE CAN`T BE TOO CAREFUL,YES,YES,2100,71
MALE,65+,PRIMARY/NO EDUCATION,FARMER,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,1800,90
FEMALE,45-59,VOCATIONAL/GRAMMAR,FARMER,MARRIED,7,ONE CAN`T BE TOO CAREFUL,YES,YES,400,100
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,2,MOST PEOPLE CAN BE TRUSTED,YES,YES,2000,115
MALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,NO,1620,79
FEMALE,65+,SECONDARY,RETIRED,WIDOWED,9,MOST PEOPLE CAN BE TRUSTED,YES,NO,1000,80
